DATE,DTB6
2007-06-06,4.75
2007-06-07,4.77
2007-06-08,4.74
2007-06-11,4.76
2007-06-12,4.77
2007-06-13,4.74
2007-06-14,4.73
2007-06-15,4.68
2007-06-18,4.73
2007-06-19,4.71
2007-06-20,4.77
2007-06-21,4.76
2007-06-22,4.75
2007-06-25,4.81
2007-06-26,4.81
2007-06-27,4.75
2007-06-28,4.75
2007-06-29,4.74
2007-07-02,4.82
2007-07-03,4.82
2007-07-04,.
2007-07-05,4.83
2007-07-06,4.81
2007-07-09,4.85
2007-07-10,4.83
2007-07-11,4.84
2007-07-12,4.85
2007-07-13,4.85
2007-07-16,4.87
2007-07-17,4.87
2007-07-18,4.85
2007-07-19,4.86
2007-07-20,4.85
2007-07-23,4.89
2007-07-24,4.87
2007-07-25,4.85
2007-07-26,4.76
2007-07-27,4.75
2007-07-30,4.80
2007-07-31,4.79
2007-08-01,4.76
2007-08-02,4.75
2007-08-03,4.72
2007-08-06,4.72
2007-08-07,4.78
2007-08-08,4.81
2007-08-09,4.67
2007-08-10,4.62
2007-08-13,4.70
2007-08-14,4.62
2007-08-15,4.31
2007-08-16,4.07
2007-08-17,4.04
2007-08-20,4.02
2007-08-21,3.93
2007-08-22,3.93
2007-08-23,4.04
2007-08-24,4.16
2007-08-27,4.51
2007-08-28,4.31
2007-08-29,4.14
2007-08-30,4.06
2007-08-31,4.06
2007-09-03,.
2007-09-04,4.35
2007-09-05,4.24
2007-09-06,4.25
2007-09-07,4.05
2007-09-10,4.05
2007-09-11,4.11
2007-09-12,4.05
2007-09-13,4.11
2007-09-14,4.07
2007-09-17,4.15
2007-09-18,3.97
2007-09-19,3.94
2007-09-20,3.96
2007-09-21,3.95
2007-09-24,3.96
2007-09-25,3.91
2007-09-26,3.91
2007-09-27,3.92
2007-09-28,3.94
2007-10-01,4.00
2007-10-02,4.01
2007-10-03,4.01
2007-10-04,4.00
2007-10-05,4.05
2007-10-08,.
2007-10-09,4.12
2007-10-10,4.11
2007-10-11,4.11
2007-10-12,4.15
2007-10-15,4.23
2007-10-16,4.17
2007-10-17,4.02
2007-10-18,3.94
2007-10-19,3.93
2007-10-22,4.00
2007-10-23,3.97
2007-10-24,3.86
2007-10-25,3.88
2007-10-26,3.91
2007-10-29,3.95
2007-10-30,3.92
2007-10-31,3.94
2007-11-01,3.81
2007-11-02,3.66
2007-11-05,3.80
2007-11-06,3.76
2007-11-07,3.63
2007-11-08,3.55
2007-11-09,3.52
2007-11-12,.
2007-11-13,3.63
2007-11-14,3.57
2007-11-15,3.44
2007-11-16,3.45
2007-11-19,3.43
2007-11-20,3.30
2007-11-21,3.17
2007-11-22,.
2007-11-23,3.28
2007-11-26,3.23
2007-11-27,3.26
2007-11-28,3.27
2007-11-29,3.19
2007-11-30,3.26
2007-12-03,3.17
2007-12-04,3.12
2007-12-05,3.14
2007-12-06,3.18
2007-12-07,3.20
2007-12-10,3.20
2007-12-11,3.07
2007-12-12,3.10
2007-12-13,3.12
2007-12-14,3.16
2007-12-17,3.28
2007-12-18,3.26
2007-12-19,3.22
2007-12-20,3.16
2007-12-21,3.27
2007-12-24,3.45
2007-12-25,.
2007-12-26,3.46
2007-12-27,3.32
2007-12-28,3.34
2007-12-31,3.37
2008-01-01,.
2008-01-02,3.21
2008-01-03,3.18
