DATE,DTB3
2007-06-06,4.67
2007-06-07,4.67
2007-06-08,4.64
2007-06-11,4.60
2007-06-12,4.59
2007-06-13,4.53
2007-06-14,4.52
2007-06-15,4.43
2007-06-18,4.51
2007-06-19,4.52
2007-06-20,4.61
2007-06-21,4.57
2007-06-22,4.59
2007-06-25,4.69
2007-06-26,4.69
2007-06-27,4.64
2007-06-28,4.64
2007-06-29,4.68
2007-07-02,4.81
2007-07-03,4.81
2007-07-04,.
2007-07-05,4.81
2007-07-06,4.81
2007-07-09,4.83
2007-07-10,4.81
2007-07-11,4.81
2007-07-12,4.83
2007-07-13,4.83
2007-07-16,4.84
2007-07-17,4.82
2007-07-18,4.82
2007-07-19,4.84
2007-07-20,4.83
2007-07-23,4.88
2007-07-24,4.88
2007-07-25,4.85
2007-07-26,4.78
2007-07-27,4.72
2007-07-30,4.82
2007-07-31,4.82
2007-08-01,4.75
2007-08-02,4.75
2007-08-03,4.72
2007-08-06,4.74
2007-08-07,4.80
2007-08-08,4.81
2007-08-09,4.67
2007-08-10,4.44
2007-08-13,4.61
2007-08-14,4.51
2007-08-15,4.10
2007-08-16,3.69
2007-08-17,3.65
2007-08-20,3.08
2007-08-21,3.51
2007-08-22,3.58
2007-08-23,3.79
2007-08-24,4.13
2007-08-27,4.50
2007-08-28,4.28
2007-08-29,3.88
2007-08-30,3.74
2007-08-31,3.91
2007-09-03,.
2007-09-04,4.35
2007-09-05,4.24
2007-09-06,4.18
2007-09-07,3.96
2007-09-10,3.86
2007-09-11,4.00
2007-09-12,3.93
2007-09-13,3.97
2007-09-14,3.90
2007-09-17,4.05
2007-09-18,3.91
2007-09-19,3.83
2007-09-20,3.69
2007-09-21,3.64
2007-09-24,3.76
2007-09-25,3.70
2007-09-26,3.64
2007-09-27,3.62
2007-09-28,3.72
2007-10-01,3.83
2007-10-02,3.86
2007-10-03,3.86
2007-10-04,3.85
2007-10-05,3.89
2007-10-08,.
2007-10-09,3.96
2007-10-10,3.95
2007-10-11,4.01
2007-10-12,4.09
2007-10-15,4.19
2007-10-16,4.14
2007-10-17,3.91
2007-10-18,3.66
2007-10-19,3.75
2007-10-22,3.90
2007-10-23,3.88
2007-10-24,3.75
2007-10-25,3.84
2007-10-26,3.86
2007-10-29,3.91
2007-10-30,3.86
2007-10-31,3.84
2007-11-01,3.71
2007-11-02,3.52
2007-11-05,3.62
2007-11-06,3.66
2007-11-07,3.40
2007-11-08,3.30
2007-11-09,3.19
2007-11-12,.
2007-11-13,3.41
2007-11-14,3.33
2007-11-15,3.22
2007-11-16,3.32
2007-11-19,3.32
2007-11-20,3.17
2007-11-21,3.02
2007-11-22,.
2007-11-23,3.15
2007-11-26,3.06
2007-11-27,3.08
2007-11-28,2.98
2007-11-29,2.92
2007-11-30,3.08
2007-12-03,2.99
2007-12-04,3.00
2007-12-05,3.00
2007-12-06,3.02
2007-12-07,3.04
2007-12-10,2.98
2007-12-11,2.87
2007-12-12,2.81
2007-12-13,2.80
2007-12-14,2.81
2007-12-17,3.01
2007-12-18,2.98
2007-12-19,2.85
2007-12-20,2.85
2007-12-21,2.92
2007-12-24,3.26
2007-12-25,.
2007-12-26,3.24
2007-12-27,3.09
2007-12-28,3.10
2007-12-31,3.29
2008-01-01,.
2008-01-02,3.18
2008-01-03,3.16
2008-01-04,3.12
2008-01-07,3.19
2008-01-08,3.17
2008-01-09,3.14
2008-01-10,3.16
2008-01-11,3.02
2008-01-14,3.11
2008-01-15,3.09
2008-01-16,3.06
2008-01-17,3.00
2008-01-18,2.79
2008-01-21,.
2008-01-22,2.30
2008-01-23,2.16
2008-01-24,2.32
2008-01-25,2.25
2008-01-28,2.29
2008-01-29,2.23
2008-01-30,2.16
2008-01-31,1.92
2008-02-01,2.06
2008-02-04,2.22
2008-02-05,2.14
2008-02-06,2.05
2008-02-07,2.12
2008-02-08,2.18
2008-02-11,2.25
2008-02-12,2.25
2008-02-13,2.22
2008-02-14,2.26
2008-02-15,2.16
2008-02-18,.
2008-02-19,2.23
2008-02-20,2.20
2008-02-21,2.15
2008-02-22,2.15
2008-02-25,2.15
2008-02-26,2.09
2008-02-27,1.94
2008-02-28,1.86
2008-02-29,1.81
2008-03-03,1.67
2008-03-04,1.63
2008-03-05,1.50
2008-03-06,1.37
2008-03-07,1.42
2008-03-10,1.33
2008-03-11,1.45
2008-03-12,1.45
2008-03-13,1.33
2008-03-14,1.16
2008-03-17,1.09
2008-03-18,0.91
2008-03-19,0.60
2008-03-20,0.62
2008-03-21,.
2008-03-24,1.23
2008-03-25,1.27
2008-03-26,1.27
2008-03-27,1.28
2008-03-28,1.31
2008-03-31,1.36
2008-04-01,1.38
2008-04-02,1.39
2008-04-03,1.38
2008-04-04,1.33
2008-04-07,1.43
2008-04-08,1.39
2008-04-09,1.29
2008-04-10,1.25
2008-04-11,1.17
